JobTitle,Gender,Age,SalaryUSD,Country,EmploymentStatus,YearsofExperience,Education,EducationIsComputerRelated,EmploymentSector,LookingForAnotherJob,KindsOfTasksPerformed,ToolsUsed
"Developer: App code (C#, JS, etc)",Female,27,101000,Australia,Full time employee,7,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects","Azure SQL DB, Python, C#, JS, .NET"
"Developer: App code (C#, JS, etc)",Male,21,28000,Mexico,Full time employee,1,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Projects","Azure SQL DB, Python, C#, JS, .NET"
Data Analyst,Male,22,85000,United States,Full time employee,2,Masters,No,,No,"Build scripts & automation tools, Manual tasks, Projects, R&D","Azure SQL DB, Python, SSRS, PowerBI, Tableau"
Data Analyst,Male,20,33000,Hungary,Full time employee,2,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Meetings & management, Training/teaching","Azure SQL DB, Python, SSRS, PowerBI, Tableau"
Data Analyst,Male,23,15600,Latvia,Full time employee,5,None (no degree completed),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, R&D","Azure SQL DB, Python, SSRS, PowerBI, Tableau"
DBA,Male,21,145000,United States,Full time employee,3,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Projects","Azure SQL DB, R"
DBA,Male,28,78000,United States,Full time employee,10,Associates (2 years),Yes,,Yes,"Manual tasks, On-call 24/7/365, Projects, R&D, Training/teaching","Azure SQL DB, R"
Developer: T-SQL,Female,21,26300,Mexico,Full time employee,1,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Projects","Azure SQL DB, R"
Data Analyst,Female,22,50085,United States,Full time employee,3,Associates (2 years),No,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D, Training/teaching","Azure SQL DB, R, SSRS, PowerBI, Tableau"
Architect,Male,28,150000,United States,Full time employee,10,None (no degree completed),,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching","Cassandra, Python"
DBA,Female,40,130000,United States,Full time employee,20,None (no degree completed),,,Yes,"Manual tasks, Meetings & management","Cassandra, R"
Data Engineer,Male,30,130000,United States,Full time employee,10,Masters,Yes,Private company,No,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, R&D","DB2, Python"
DBA,Male,25,124000,United States,Full time employee,7,None (no degree completed),,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, R&D, Training/teaching","DB2, Python"
Data Analyst,Male,24,111000,United States,Full time employee,6,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects","DB2, Python"
DBA,Male,30,110000,United States,Full time employee,10,Masters,Yes,State/province government,No,"Build scripts & automation tools, On-call as part of a rotation, Projects","DB2, Python"
DBA,Male,35,109000,United States,Full time employee,17,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, R&D, Training/teaching","DB2, Python"
Data Analyst,Female,24,100000,United States,Full time employee,2,Masters,No,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects","DB2, Python"
DBA,Male,21,89000,United States,Full time employee,1,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, R&D","DB2, Python"
DBA,Male,21,68000,United Kingdom,Full time employee,3,Bachelors (4 years),No,,Yes,"Manual tasks, Meetings & management, On-call 24/7/365, Projects","DB2, Python"
Data Analyst,Male,30,61671,France,Full time employee,12,Associates (2 years),Yes,,No,R&D,"DB2, Python"
Data Analyst,Female,23,55000,United States,Full time employee,3,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects","DB2, Python"
Data Analyst,Male,38,45000,Italy,Full time employee,20,None (no degree completed),No,,Yes,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects","DB2, Python"
DBA,Female,40,40000,Italy,Full time employee,20,Bachelors (4 years),No,,Yes,"Manual tasks, On-call as part of a rotation, Projects","DB2, Python"
DBA,Female,22,96000,United States,Full time employee,2,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation","DB2, R"
DBA,Male,21,78000,United States,Full time employee,2,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching","DB2, R"
DBA,Female,56,76650,Netherlands,"Independent consultant, contractor, freelancer,  or company owner",37,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, On-call as part of a rotation, Projects, Training/teaching","DB2, R"
Architect,Male,21,178000,United States,Full time employee,1,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Meetings & management, On-call 24/7/365, R&D, Training/teaching","Elasticsearch, Python"
Manager,Female,21,135000,United Kingdom,Full time employee,1,Bachelors (4 years),Yes,,Yes,Meetings & management,"Elasticsearch, Python"
Data Scientist,Male,30,123000,United States,"Independent consultant, contractor, freelancer,  or company owner",5,Masters,Yes,,No,"Projects, Training/teaching","Hadoop, Python, R, Hadoop"
Data Analyst,Female,22,98000,Australia,Full time employee,2,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Projects","Microsoft Access, Python"
Developer: T-SQL,Male,33,90000,United States,Full time employee,15,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Projects","Microsoft Access, Python"
Architect,Male,27,87100,United States,Full time employee,7,Masters,No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D","Microsoft Access, Python"
Data Analyst,Male,21,75000,Ireland,Full time employee,3,Associates (2 years),No,,No,"Build scripts & automation tools, Meetings & management, Projects","Microsoft Access, Python"
Data Analyst,Male,21,67000,United States,Full time employee,1,Masters,Yes,,No,"Build scripts & automation tools, Meetings & management, Projects","Microsoft Access, Python"
Data Analyst,Male,24,65000,United States,Full time employee,6,Bachelors (4 years),No,Local government,Yes,"Manual tasks, Projects","Microsoft Access, Python"
Data Analyst,Female,25,50000,Italy,Full time employee,5,Associates (2 years),No,,Yes,"Build scripts & automation tools, Projects","Microsoft Access, Python"
"Developer: App code (C#, JS, etc)",Female,21,77000,United States,Full time employee,2,Bachelors (4 years),Yes,Federal government,No,Projects,"Microsoft Access, Python, C#, JS, .NET"
"Developer: App code (C#, JS, etc)",Female,25,64000,United States,Full time employee,4,Masters,No,Private company,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching","Microsoft Access, Python, C#, JS, .NET"
"Developer: App code (C#, JS, etc)",Male,21,57300,United States,Full time employee,3,Bachelors (4 years),Yes,Federal government,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D","Microsoft Access, Python, C#, JS, .NET"
"Developer: App code (C#, JS, etc)",Female,22,48000,United States,Full time employee,2,None (no degree completed),,,Yes,"Build scripts & automation tools, Meetings & management, R&D","Microsoft Access, Python, C#, JS, .NET"
Manager,Female,34,85000,United States,Full time employee,15,Bachelors (4 years),Yes,Local government,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching","Microsoft Access, R"
DBA,Male,23,832031,United Kingdom,Full time employee,5,None (no degree completed),,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,35,800000,Germany,Full time employee,17,None (no degree completed),,,Yes,"Projects, Training/teaching","Microsoft SQL Server, Python"
Developer: T-SQL,Male,22,705000,United States,Full time employee,4,Bachelors (4 years),No,,No,"Build scripts & automation tools, Meetings & management, On-call 24/7/365, Projects","Microsoft SQL Server, Python"
Manager,Male,23,628857,New Zealand,Full time employee,5,Bachelors (4 years),Yes,Federal government,Yes,"Meetings & management, Projects, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,30,400000,United States,Full time employee,10,Masters,No,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
Data Engineer,Male,21,368900,Netherlands,"Independent consultant, contractor, freelancer,  or company owner",3,Bachelors (4 years),No,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects","Microsoft SQL Server, Python"
Architect,Male,30,350000,United States,"Independent consultant, contractor, freelancer,  or company owner",10,Masters,Yes,,Yes,"Build scripts & automation tools, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,23,345000,United States,Full time employee,5,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,41,333000,United States,Full time employee,23,None (no degree completed),,,No,"Build scripts & automation tools, Meetings & management, On-call 24/7/365, R&D, Training/teaching","Microsoft SQL Server, Python"
Data Engineer,Male,30,325000,United States,Full time employee,12,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,30,300000,Denmark,"Independent consultant, contractor, freelancer,  or company owner",10,Masters,Yes,Private company,No,"Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Projects, R&D","Microsoft SQL Server, Python"
Data Engineer,Male,36,300000,United States,"Independent consultant, contractor, freelancer,  or company owner",18,Associates (2 years),,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects","Microsoft SQL Server, Python"
Developer: T-SQL,Male,27,300000,United States,"Independent consultant, contractor, freelancer,  or company owner",9,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Meetings & management, Projects, Training/teaching","Microsoft SQL Server, Python"
Developer: T-SQL,Male,30,300000,United States,"Independent consultant, contractor, freelancer,  or company owner",12,Bachelors (4 years),Yes,,Yes,"Manual tasks, Meetings & management, On-call as part of a rotation, Projects, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,35,300000,United States,"Independent consultant, contractor, freelancer,  or company owner",15,Masters,No,,Yes,"Build scripts & automation tools, Manual tasks, Projects","Microsoft SQL Server, Python"
Manager,Male,30,300000,United States,"Independent consultant, contractor, freelancer,  or company owner",12,None (no degree completed),,,No,"Meetings & management, On-call 24/7/365, Projects","Microsoft SQL Server, Python"
DBA,Male,21,290000,United States,"Independent consultant, contractor, freelancer,  or company owner",3,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects","Microsoft SQL Server, Python"
Architect,Male,21,290000,United States,Full time employee,3,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Developer: T-SQL,Male,38,290000,United States,"Independent consultant, contractor, freelancer,  or company owner",20,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
DBA,Male,34,280000,United Kingdom,"Independent consultant, contractor, freelancer,  or company owner",16,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,33,272000,United States,"Independent consultant, contractor, freelancer,  or company owner",13,Masters,No,,Yes,"Meetings & management, On-call 24/7/365, Projects, Training/teaching","Microsoft SQL Server, Python"
Developer: T-SQL,Male,33,270000,United States,Full time employee,15,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects","Microsoft SQL Server, Python"
Architect,Male,24,270000,United States,Full time employee,4,Masters,Yes,,No,R&D,"Microsoft SQL Server, Python"
DBA,Male,31,260000,United States,"Independent consultant, contractor, freelancer,  or company owner",11,Masters,Yes,,Yes,Projects,"Microsoft SQL Server, Python"
Architect,Male,42,250000,Germany,"Independent consultant, contractor, freelancer,  or company owner",22,Masters,Yes,,No,"Build scripts & automation tools, Manual tasks, Projects","Microsoft SQL Server, Python"
Architect,Male,30,250000,Germany,Full time employee,12,None (no degree completed),,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects","Microsoft SQL Server, Python"
DBA,Male,34,250000,United States,"Independent consultant, contractor, freelancer,  or company owner",16,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Meetings & management, On-call as part of a rotation","Microsoft SQL Server, Python"
DBA,Male,24,250000,United States,"Independent consultant, contractor, freelancer,  or company owner",6,None (no degree completed),,,No,"Build scripts & automation tools, Projects, R&D","Microsoft SQL Server, Python"
Data Engineer,Male,35,245000,United States,"Independent consultant, contractor, freelancer,  or company owner",17,None (no degree completed),,,Yes,"Manual tasks, On-call as part of a rotation, Projects","Microsoft SQL Server, Python"
DBA,Male,25,240000,United States,Full time employee,7,None (no degree completed),,,No,"Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,40,240000,United States,"Independent consultant, contractor, freelancer,  or company owner",22,None (no degree completed),,,Yes,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,25,225000,United States,"Independent consultant, contractor, freelancer,  or company owner",5,Masters,Yes,,No,"Projects, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,32,225000,United States,Full time employee,12,Masters,Yes,,Yes,"Build scripts & automation tools, Meetings & management, Projects","Microsoft SQL Server, Python"
Manager,Male,26,220000,United States,Full time employee,8,Associates (2 years),,,Yes,"Build scripts & automation tools, Manual tasks, On-call 24/7/365, Projects, R&D","Microsoft SQL Server, Python"
DBA,Male,28,220000,United States,Full time employee,10,Bachelors (4 years),No,,No,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation","Microsoft SQL Server, Python"
Manager,Male,20,220000,United States,Full time employee,2,None (no degree completed),,,No,"Build scripts & automation tools, Projects, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,23,220000,United States,"Independent consultant, contractor, freelancer,  or company owner",5,None (no degree completed),,,No,"Build scripts & automation tools, Meetings & management, On-call 24/7/365, Projects, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,20,210000,United States,Full time employee,2,None (no degree completed),,,Yes,"Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Training/teaching","Microsoft SQL Server, Python"
Data Engineer,Male,43,205000,United States,Full time employee,25,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,20,201000,United States,Full time employee,2,None (no degree completed),,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,18,200000,Australia,"Independent consultant, contractor, freelancer,  or company owner",0,None (no degree completed),,Private company,No,"Manual tasks, On-call 24/7/365, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,21,200000,United States,Full time employee,1,Bachelors (4 years),No,,No,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,32,200000,United States,Full time employee,14,Bachelors (4 years),Yes,,Yes,"Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,34,200000,United States,Full time employee,16,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,38,200000,United States,Full time employee,20,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Meetings & management, Projects, Training/teaching","Microsoft SQL Server, Python"
Data Engineer,Male,38,200000,United States,"Independent consultant, contractor, freelancer,  or company owner",20,Bachelors (4 years),Yes,,Yes,"Build scripts & automation tools, Manual tasks, Projects, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,26,200000,United States,Full time employee,6,Masters,Yes,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,35,200000,United States,Full time employee,15,Masters,No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D","Microsoft SQL Server, Python"
DBA,Male,19,200000,United States,Full time employee,1,None (no degree completed),,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,32,200000,United States,Full time employee,14,None (no degree completed),,,No,"Manual tasks, On-call 24/7/365, Projects","Microsoft SQL Server, Python"
Manager,Male,33,198000,United States,Full time employee,15,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, R&D","Microsoft SQL Server, Python"
Data Engineer,Male,22,198000,United States,"Independent consultant, contractor, freelancer,  or company owner",2,Masters,Yes,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects","Microsoft SQL Server, Python"
DBA,Male,21,195000,United States,Full time employee,3,Associates (2 years),No,,No,"Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,22,195000,United States,Full time employee,4,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,23,195000,United States,Full time employee,3,Masters,No,,Yes,"Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,23,195000,United States,Full time employee,3,Masters,Yes,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,26,194000,United States,Full time employee,8,None (no degree completed),,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,21,193000,United States,Full time employee,3,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,36,192000,United States,Full time employee,18,Bachelors (4 years),Yes,,Yes,"Manual tasks, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,23,190000,United States,Full time employee,3,Masters,No,,No,"Build scripts & automation tools, Manual tasks","Microsoft SQL Server, Python"
DBA,Female,29,190000,United States,Full time employee,5,Masters,Yes,,No,"Build scripts & automation tools, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,21,189000,United States,Full time employee,3,Bachelors (4 years),,,Yes,"Manual tasks, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
Manager,Male,28,185000,Uganda,Full time employee,10,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Projects, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,51,185000,United States,Full time employee,6,Bachelors (4 years),Yes,,No,On-call 24/7/365,"Microsoft SQL Server, Python"
DBA,Male,27,185000,United States,Full time employee,9,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, R&D","Microsoft SQL Server, Python"
DBA,Male,38,185000,United States,Full time employee,20,Bachelors (4 years),Yes,,No,"Manual tasks, On-call 24/7/365, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,23,180600,United States,Full time employee,5,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,28,180000,Israel,Full time employee,8,Masters,,,No,R&D,"Microsoft SQL Server, Python"
DBA,Male,31,180000,New Zealand,"Independent consultant, contractor, freelancer,  or company owner",13,Bachelors (4 years),No,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
DBA,Male,28,180000,United States,Full time employee,10,Bachelors (4 years),Yes,State/province government,No,R&D,"Microsoft SQL Server, Python"
Architect,Male,32,180000,United States,Full time employee,14,Bachelors (4 years),No,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, R&D","Microsoft SQL Server, Python"
DBA,Male,33,180000,United States,Full time employee,15,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,36,180000,United States,Full time employee,18,Bachelors (4 years),No,Private company,No,"Manual tasks, On-call as part of a rotation, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,38,180000,United States,Full time employee,20,Bachelors (4 years),No,,Yes,"Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects","Microsoft SQL Server, Python"
Developer: T-SQL,Male,38,180000,United States,Full time employee,18,Masters,Yes,,No,"Build scripts & automation tools, Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,32,178000,United States,Full time employee,14,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,35,176000,United States,Full time employee,17,Bachelors (4 years),No,,No,"Build scripts & automation tools, Manual tasks, Projects, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,35,176000,United States,Full time employee,15,Masters,Yes,,Yes,"Manual tasks, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,28,175000,United States,Full time employee,10,Associates (2 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
DBA,Male,21,175000,United States,Full time employee,2,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,36,175000,United States,Full time employee,18,Bachelors (4 years),Yes,Private company,No,"Build scripts & automation tools, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
Architect,Male,38,175000,United States,Full time employee,20,Bachelors (4 years),Yes,,Yes,,"Microsoft SQL Server, Python"
Manager,Male,25,175000,United States,Full time employee,5,Masters,No,,Yes,"Build scripts & automation tools, Projects","Microsoft SQL Server, Python"
Architect,Male,22,174000,United States,Full time employee,2,Masters,No,,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, Training/teaching","Microsoft SQL Server, Python"
Architect,Male,39,172000,Denmark,Full time employee,5,Bachelors (4 years),No,,Yes,"Manual tasks, Projects","Microsoft SQL Server, Python"
Architect,Male,32,170000,Switzerland,"Independent consultant, contractor, freelancer,  or company owner",12,Masters,Yes,,No,"Projects, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,22,170000,United States,Full time employee,1,Bachelors (4 years),Yes,Private company,No,"Build scripts & automation tools, Manual tasks, Projects, Training/teaching","Microsoft SQL Server, Python"
DBA,Male,28,170000,United States,Full time employee,10,Bachelors (4 years),Yes,,Yes,"Manual tasks, R&D","Microsoft SQL Server, Python"
DBA,Male,20,170000,United States,Full time employee,2,None (no degree completed),No,,No,"Build scripts & automation tools, On-call 24/7/365, Projects, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,38,170000,United States,Full time employee,20,None (no degree completed),No,,Yes,"Build scripts & automation tools, Meetings & management, On-call 24/7/365","Microsoft SQL Server, Python"
DBA,Female,37,169000,United Kingdom,"Independent consultant, contractor, freelancer,  or company owner",17,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects","Microsoft SQL Server, Python"
DBA,Male,20,169000,United States,Full time employee,2,Bachelors (4 years),No,,Yes,"On-call 24/7/365, Projects","Microsoft SQL Server, Python"
Architect,Male,28,168000,United States,Full time employee,10,Bachelors (4 years),No,,No,,"Microsoft SQL Server, Python"
Manager,Male,19,168000,United States,Full time employee,1,None (no degree completed),,,No,"Meetings & management, Training/teaching","Microsoft SQL Server, Python"
DBA,Female,34,166000,United States,Full time employee,10,Masters,Yes,Federal government,No,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call 24/7/365, Projects","Microsoft SQL Server, Python"
DBA,Male,36,165227,New Zealand,Full time employee,18,Associates (2 years),Yes,Private company,No,R&D,"Microsoft SQL Server, Python"
Architect,Female,21,165000,United States,Full time employee,1,Bachelors (4 years),Yes,,No,"Meetings & management, R&D, Training/teaching","Microsoft SQL Server, Python"
Manager,Male,21,165000,United States,Full time employee,3,Bachelors (4 years),Yes,Local government,Yes,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, Projects","Microsoft SQL Server, Python"
Architect,Male,21,165000,United States,Full time employee,3,Bachelors (4 years),Yes,,No,"Build scripts & automation tools, Meetings & management, Projects, R&D","Microsoft SQL Server, Python"
Manager,Male,22,165000,United States,Full time employee,4,Bachelors (4 years),No,,No,"Build scripts & automation tools, Manual tasks, Meetings & management, Projects, R&D, Training/teaching","Microsoft SQL Server, Python"
Architect,Female,25,165000,United States,Full time employee,5,Bachelors (4 years),No,,Yes,"Build scripts & automation tools, Meetings & management, R&D, Training/teaching","Microsoft SQL Server, Python"
